Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_TripleJet110_35_35_Mjj650_PFMET110,64,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.07625038720899754
HLT_PFMET250_NotCleaned,64,27.2,27.2,"JetMET[0,1]",83934,0.07625038720899754
HLT_DoubleEle4p5_eta1p22_mMax6_trkHits10,64,5.2,5.2,ParkingDoubleElectronLowMass,83934,0.07625038720899754
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,60,21.0,21.0,"JetMET[0,1]",83934,0.0714847380084352
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose,58,27.2,27.2,DisplacedJet,83934,0.06910191340815403
HLT_CaloJet550_NoJetID,56,27.2,27.2,"JetMET[0,1]",83934,0.06671908880787285
HLT_DoubleEle6_eta1p22_mMax6,50,15.3,15.3,ParkingDoubleElectronLowMass,83934,0.059570615007029336
HLT_DoubleEle5_eta1p22_mMax6_trkHits10,50,11.0,11.0,ParkingDoubleElectronLowMass,83934,0.059570615007029336
HLT_PFJet550,50,27.2,27.2,"JetMET[0,1]",83934,0.059570615007029336
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,50,21.0,21.0,"JetMET[0,1]",83934,0.059570615007029336
HLT_Ele32_WPTight_Gsf_L1DoubleEG,48,27.2,27.2,"EGamma[0,1]",83934,0.05718779040674816
HLT_Ele32_WPTight_Gsf,48,27.2,27.2,"EGamma[0,1]",83934,0.05718779040674816
HLT_DoubleEle4_eta1p22_mMax6_dz0p8,48,5.0,5.0,ParkingDoubleElectronLowMass,83934,0.05718779040674816
HLT_DoubleEle4p5_eta1p22_mMax6_dz0p8,48,8.6,8.6,ParkingDoubleElectronLowMass,83934,0.05718779040674816
HLT_Ele30_WPTight_Gsf,48,27.2,27.2,"EGamma[0,1]",83934,0.05718779040674816
HLT_DoubleEle5p5_eta1p22_mMax6_trkHits10,46,11.9,11.9,ParkingDoubleElectronLowMass,83934,0.05480496580646699
HLT_BTagMu_AK4Jet300_Mu5,46,27.2,27.2,BTagMu,83934,0.05480496580646699
HLT_DoubleEle25_CaloIdL_MW,46,27.2,27.2,"EGamma[0,1]",83934,0.05480496580646699
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose,46,27.2,27.2,DisplacedJet,83934,0.05480496580646699
HLT_Ele35_WPTight_Gsf,44,27.2,27.2,"EGamma[0,1]",83934,0.05242214120618581
HLT_TripleJet110_35_35_Mjj650_PFMET120,44,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.05242214120618581
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive,44,27.2,27.2,DisplacedJet,83934,0.05242214120618581
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose,42,27.2,27.2,DisplacedJet,83934,0.05003931660590464
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,42,21.0,21.0,"JetMET[0,1]",83934,0.05003931660590464
HLT_Ele15_IsoVVVL_PFHT450,42,27.2,27.2,"EGamma[0,1]",83934,0.05003931660590464
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG,40,27.2,27.2,"EGamma[0,1]",83934,0.04765649200562347
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85_TriplePFJet,40,21.0,21.0,ParkingVBF[0-7],83934,0.04765649200562347
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5,38,27.2,27.2,DisplacedJet,83934,0.04527366740534229
HLT_DoubleEle27_CaloIdL_MW,38,27.2,27.2,"EGamma[0,1]",83934,0.04527366740534229
HLT_Ele38_WPTight_Gsf,38,27.2,27.2,"EGamma[0,1]",83934,0.04527366740534229
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Ele12_eta2p1_WPTight_Gsf,36,11.5,11.5,ParkingVBF[0-7],83934,0.04289084280506112
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40,36,27.2,27.2,"EGamma[0,1]",83934,0.04289084280506112
HLT_DoubleEle5_eta1p22_mMax6_dz0p8,36,16.6,16.6,ParkingDoubleElectronLowMass,83934,0.04289084280506112
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85_TriplePFJet,36,9.5,9.5,ParkingVBF[0-7],83934,0.04289084280506112
HLT_Ele28_eta2p1_WPTight_Gsf_HT150,36,27.2,27.2,"EGamma[0,1]",83934,0.04289084280506112
HLT_HT430_DelayedJet40_SingleDelay1p5nsTrackless,34,9.5,9.5,DisplacedJet,83934,0.04050801820477994
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5,34,27.2,27.2,DisplacedJet,83934,0.04050801820477994
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet230_SoftDropMass40,34,27.2,27.2,"EGamma[0,1]",83934,0.04050801820477994
HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,34,27.2,27.2,DisplacedJet,83934,0.04050801820477994
HLT_DoubleEle6_eta1p22_mMax6_trkHits10,34,13.2,13.2,ParkingDoubleElectronLowMass,83934,0.04050801820477994
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Ele17_eta2p1_WPTight_Gsf,34,9.5,9.5,ParkingVBF[0-7],83934,0.04050801820477994
HLT_Ele40_WPTight_Gsf,34,27.2,27.2,"EGamma[0,1]",83934,0.04050801820477994
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned,32,27.2,27.2,"EGamma[0,1]",83934,0.03812519360449877
HLT_DoubleEle5p5_eta1p22_mMax6_dz0p8,32,17.9,17.9,ParkingDoubleElectronLowMass,83934,0.03812519360449877
HLT_VBF_DiPFJet50_Mjj500_Detajj2p5_Ele22_eta2p1_WPTight_Gsf,30,9.5,9.5,ParkingVBF[0-7],83934,0.0357423690042176
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack,30,27.2,27.2,DisplacedJet,83934,0.0357423690042176
HLT_L1Tau_DelayedJet40_SingleDelay2p75To4nsInclusive,30,9.2,9.2,ParkingLLP,83934,0.0357423690042176
HLT_Ele50_IsoVVVL_PFHT450,28,27.2,27.2,"EGamma[0,1]",83934,0.033359544403936424
HLT_Ele15_IsoVVVL_PFHT450_PFMET50,28,27.2,27.2,"EGamma[0,1]",83934,0.033359544403936424
HLT_Diphoton22_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,28,27.2,27.2,"EGamma[0,1]",83934,0.033359544403936424
HLT_Diphoton24_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,26,27.2,27.2,"EGamma[0,1]",83934,0.030976719803655253
HLT_HT430_DelayedJet40_DoubleDelay0p75nsTrackless,26,9.5,9.5,DisplacedJet,83934,0.030976719803655253
HLT_Mu6HT240_DisplacedDijet45_Inclusive0PtrkShortSig5,26,27.2,27.2,DisplacedJet,83934,0.030976719803655253
HLT_DoubleEle33_CaloIdL_MW,24,27.2,27.2,"EGamma[0,1]",83934,0.02859389520337408
HLT_Mu50,24,27.2,27.2,"Muon[0,1]",83934,0.02859389520337408
HLT_Ele28_HighEta_SC20_Mass55,24,27.2,27.2,"EGamma[0,1]",83934,0.02859389520337408
HLT_Mu15_IsoVVVL_PFHT450,24,27.2,27.2,"Muon[0,1]",83934,0.02859389520337408
HLT_Diphoton24_16_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,24,27.2,27.2,"EGamma[0,1]",83934,0.02859389520337408
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet,24,9.5,9.5,ParkingVBF[0-7],83934,0.02859389520337408
HLT_Mu6HT240_DisplacedDijet50_Inclusive0PtrkShortSig5,24,27.2,27.2,DisplacedJet,83934,0.02859389520337408
HLT_DoubleMu4_3_LowMass,24,27.2,27.2,ParkingDoubleMuonLowMass[0-7],83934,0.02859389520337408
HLT_DoubleEle6_eta1p22_mMax6_dz0p8,24,19.3,19.3,ParkingDoubleElectronLowMass,83934,0.02859389520337408
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_DZ,24,27.2,27.2,MuonEG,83934,0.02859389520337408
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40_PNetBB0p06,24,21.0,21.0,"EGamma[0,1]",83934,0.02859389520337408
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,24,21.0,21.0,"JetMET[0,1]",83934,0.02859389520337408
