Trigger_Name,Actual_lumi,Effective_lumi,First_run,Last_run,datasets
HLT_Photon200_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon20_HoverELoose_v,27.2,0.0023,366403,370790,"EGamma[0,1]"
HLT_Photon175EB_TightID_TightIso_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon175_v,27.2,0.42,366403,370790,"EGamma[0,1]"
HLT_Photon165_R9Id90_HE10_IsoM_v,27.2,6.8,366403,370790,"EGamma[0,1]"
HLT_Photon150EB_TightID_TightIso_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon150_v,27.2,0.21,366403,370790,"EGamma[0,1]"
HLT_Photon130EB_TightID_TightIso_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon120_v,27.2,0.21,366403,370790,"EGamma[0,1]"
HLT_Photon120_R9Id90_HE10_IsoM_v,27.2,3.4,366403,370790,"EGamma[0,1]"
HLT_Photon110EB_TightID_TightIso_v,27.2,27.2,366403,370790,"EGamma[0,1]"
HLT_Photon100EBHE10_v,27.2,0.85,366403,370790,"EGamma[0,1]"
HLT_PFMETTypeOne200_BeamHaloCleaned_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETTypeOne140_PFMHT140_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF_v,27.1,27.1,366403,370790,"JetMET[0,1]"
HLT_PFMET300_NotCleaned_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET250_NotCleaned_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET200_NotCleaned_v,27.2,1.7,366403,370790,"JetMET[0,1]"
HLT_PFMET200_BeamHaloCleaned_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET140_PFMHT140_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET130_PFMHT130_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET120_PFMHT120_IDTight_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFMET105_IsoTrk50_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd80_v,27.2,0.005,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd60_v,25.3,0.00071,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd500_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd450_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd400_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd40_v,27.2,7.10E-05,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd320_v,27.2,6.8,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd260_v,27.2,3.4,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd200_v,27.2,0.6,366403,370790,"JetMET[0,1]"
HLT_PFJetFwd140_v,27.2,0.1,366403,370790,"JetMET[0,1]"
HLT_PFJet80_v,27.2,0.0016,366403,370790,"JetMET[0,1]"
HLT_PFJet60_v,27.2,0.00041,366403,370790,"JetMET[0,1]"
HLT_PFJet550_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFJet500_v,27.2,27.2,366403,370790,"JetMET[0,1]"
HLT_PFJet450_v,27.2,3.4,366403,370790,"JetMET[0,1]"
HLT_PFJet400_v,27.2,1.7,366403,370790,"JetMET[0,1]"
HLT_PFJet40_v,27.2,5.90E-05,366403,370790,"JetMET[0,1]"
HLT_PFJet40_GPUvsCPU_v,27.1,27.1,366403,370790,Commissioning
HLT_PFJet320_v,27.2,0.85,366403,370790,"JetMET[0,1]"
HLT_PFJet260_v,27.2,0.21,366403,370790,"JetMET[0,1]"
