Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165,115,27.2,27.2,"EGamma[0,1]",54677,0.21032609689631837
HLT_PFHT400_FivePFJet_120_120_60_30_30_DoublePFBTagDeepJet_4p5,114,27.2,27.2,"JetMET[0,1], ParkingHH",54677,0.20849717431461126
HLT_CaloJet500_NoJetID,111,27.2,27.2,"JetMET[0,1]",54677,0.2030104065694899
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG,110,27.2,27.2,"EGamma[0,1]",54677,0.2011814839877828
HLT_HT430_DelayedJet40_SingleDelay1p25To1p75nsInclusive,108,21.0,21.0,ParkingLLP,54677,0.19752363882436857
HLT_PFJet500,104,27.2,27.2,"JetMET[0,1]",54677,0.1902079484975401
HLT_AK8PFJet500_MassSD30,101,27.2,27.2,"JetMET[0,1]",54677,0.18472118075241875
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1,95,27.2,27.2,Tau,54677,0.17374764526217606
HLT_DoubleEle4_eta1p22_mMax6_trkHits10,93,2.5,2.5,ParkingDoubleElectronLowMass,54677,0.17008980009876182
HLT_AK8PFJet425_SoftDropMass40,90,27.2,27.2,"JetMET[0,1]",54677,0.16460303235364046
HLT_Ele115_CaloIdVT_GsfTrkIdT,87,27.2,27.2,"EGamma[0,1]",54677,0.15911626460851913
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,87,27.2,27.2,DisplacedJet,54677,0.15911626460851913
HLT_Ele30_WPTight_Gsf,87,27.2,27.2,"EGamma[0,1]",54677,0.15911626460851913
HLT_DoubleEle5p5_eta1p22_mMax6,86,14.0,14.0,ParkingDoubleElectronLowMass,54677,0.157287342026812
HLT_DoubleEle4p5_eta1p22_mMax6_trkHits10,82,5.2,5.2,ParkingDoubleElectronLowMass,54677,0.14997165169998353
HLT_Ele32_WPTight_Gsf,82,27.2,27.2,"EGamma[0,1]",54677,0.14997165169998353
HLT_Ele32_WPTight_Gsf_L1DoubleEG,82,27.2,27.2,"EGamma[0,1]",54677,0.14997165169998353
HLT_HT430_DisplacedDijet40_DisplacedTrack,81,27.2,27.2,"DisplacedJet, ParkingLLP",54677,0.14814272911827642
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless,80,27.2,27.2,DisplacedJet,54677,0.1463138065365693
HLT_CaloJet550_NoJetID,79,27.2,27.2,"JetMET[0,1]",54677,0.1444848839548622
HLT_AK8PFJet550,75,27.2,27.2,"JetMET[0,1]",54677,0.13716919362803373
HLT_Ele35_WPTight_Gsf,74,27.2,27.2,"EGamma[0,1]",54677,0.13534027104632662
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned,73,27.2,27.2,"EGamma[0,1]",54677,0.13351134846461948
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5,72,27.2,27.2,"JetMET[0,1], ParkingHH",54677,0.13168242588291237
HLT_AK8DiPFJet270_270_MassSD30,71,27.2,27.2,"JetMET[0,1]",54677,0.12985350330120526
HLT_AK8PFJet450_SoftDropMass40,71,27.2,27.2,"JetMET[0,1]",54677,0.12985350330120526
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight,71,27.2,27.2,"Muon[0,1]",54677,0.12985350330120526
HLT_DoubleEle5_eta1p22_mMax6_trkHits10,69,11.0,11.0,ParkingDoubleElectronLowMass,54677,0.12619565813779102
