https://cmshltinfo.app.cern.ch/summary,,,,,,
path (click to see more detail),act. lumi (fb-1),eff. lumi (fb-1),counts,first run,last run,dataset(s)
HLT_Dimuon0_Upsilon_L1_5M_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_LowMass_L1_0er1p5_v,35.2,0.078,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_LowMass_v,35.2,0.0078,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_LowMass_L1_4_v,35.2,0.05,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_LowMass_L1_TM530_v,35.2,0.05,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_Muon_L1_TM0_v,0,0,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v,35.2,1,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v,35.2,1,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v,35.2,3.5,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v,35.2,3.5,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon18_PsiPrime_noCorrL1_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon24_Upsilon_noCorrL1_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon24_Phi_noCorrL1_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon25_Jpsi_noCorrL1_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v,0.64,0.64,,352494,356386,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu3_TkMu_DsTau3Mu_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu4_3_Jpsi_v,35.2,3,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Dimuon12_Upsilon_y1p4_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu30_TkMu0_Psi_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu30_TkMu0_Upsilon_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_Mu4_L1DoubleMu_v,35.2,0.035,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DoubleMu4_MuMuTrk_Displaced_v,35.2,35.2,,352494,362760,"DoubleMuonLowMass, ReservedDoubleMuonLowMass"
HLT_DiSC30_18_EIso_AND_HE_Mass70_v,35.2,0.14,,352494,362760,EGamma
HLT_DoublePhoton85_v,35.2,35.2,,352494,362760,EGamma
HLT_Photon300_NoHE_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v,35.2,0.027,,352494,362760,EGamma
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v,35.2,0.027,,352494,362760,EGamma
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v,35.2,35.2,,352494,362760,EGamma
HLT_Photon50_v,35.2,0.0057,,352494,362760,EGamma
HLT_Photon75_v,35.2,0.069,,352494,362760,EGamma
HLT_Photon90_v,35.2,0.069,,352494,362760,EGamma
HLT_Photon120_v,35.2,0.27,,352494,362760,EGamma
HLT_Photon175_v,35.2,0.55,,352494,362760,EGamma
HLT_Photon50_R9Id90_HE10_IsoM_v,35.2,0.97,,352494,362760,EGamma
HLT_Photon75_R9Id90_HE10_IsoM_v,35.2,0.55,,352494,362760,EGamma
HLT_Photon90_R9Id90_HE10_IsoM_v,35.2,1.1,,352494,362760,EGamma
HLT_Photon120_R9Id90_HE10_IsoM_v,35.2,4.4,,352494,362760,EGamma
HLT_Photon165_R9Id90_HE10_IsoM_v,35.2,8.8,,352494,362760,EGamma
HLT_Ele15_IsoVVVL_PFHT600_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v,35.2,0.0047,,352494,362760,EGamma
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v,35.2,0.027,,352494,362760,EGamma
HLT_ECALHT800_v,35.2,35.2,,352494,362760,EGamma
HLT_Photon150_v,35.2,0.27,,352494,362760,EGamma
HLT_Ele32_WPTight_Gsf_v,35.2,35.2,,352494,362760,EGamma
HLT_DoubleEle33_CaloIdL_MW_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele27_WPTight_Gsf_v,1.6,1.6,,352494,362760,EGamma
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v,35.2,0.0047,,352494,362760,EGamma
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v,35.2,0.027,,352494,362760,EGamma
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele250_CaloIdVT_GsfTrkIdT_v,0.64,0.64,,352494,356386,EGamma
HLT_Ele300_CaloIdVT_GsfTrkIdT_v,0.64,0.64,,352494,356386,EGamma
HLT_Ele30_WPTight_Gsf_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele145_CaloIdVT_GsfTrkIdT_v,0.64,0.64,,352494,356386,EGamma
HLT_Ele200_CaloIdVT_GsfTrkIdT_v,0.64,0.64,,352494,356386,EGamma
HLT_Photon20_HoverELoose_v,35.2,0.0024,,352494,362760,EGamma
HLT_Photon30_HoverELoose_v,35.2,0.0047,,352494,362760,EGamma
HLT_DoublePhoton33_CaloIdL_v,35.2,0.55,,352494,362760,EGamma
HLT_DoublePhoton70_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele38_WPTight_Gsf_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele40_WPTight_Gsf_v,35.2,35.2,,352494,362760,EGamma
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v,35.2,35.2,,352494,362760,EGamma
